,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,neighbourhood_group_n,neighbourhood_n,room_type_n,neighbourhood_group_le,room_type_le
19984,64065593,Manhattan,Midtown,40.7522,-73.97285,Entire home/apt,2,31,1.19,13,322,1,1,1,2,0
7941,26414016,Brooklyn,Williamsburg,40.7186,-73.95951,Private room,5,6,0.12,2,0,0,12,0,1,1
42533,53632978,Brooklyn,Williamsburg,40.70856,-73.94777,Entire home/apt,1,8,3.0,1,0,0,12,1,1,0
20207,12610226,Manhattan,East Village,40.72315,-73.97878,Entire home/apt,5,8,0.26,1,0,1,19,1,2,0
25670,23262657,Queens,Forest Hills,40.71645,-73.85035,Private room,1,3,0.14,2,0,2,63,0,3,1
6290,1520215,Brooklyn,Boerum Hill,40.68598,-73.98004,Entire home/apt,3,0,,1,0,0,38,1,1,0
38601,108457539,Brooklyn,Greenpoint,40.72268,-73.94349,Private room,1,2,0.27,1,0,0,20,0,1,1
9337,37188098,Queens,Astoria,40.75878,-73.92615,Private room,2,32,0.67,2,177,2,56,0,3,1
32031,54228386,Manhattan,East Harlem,40.79844,-73.94747,Private room,1,81,6.64,1,29,1,4,0,2,1
43338,51596474,Brooklyn,Bensonhurst,40.6062,-73.98995,Private room,1,7,2.44,12,0,0,76,0,1,1
29550,8992812,Brooklyn,Bedford-Stuyvesant,40.6805,-73.92823,Entire home/apt,2,10,0.68,1,0,0,6,1,1,0
4438,15445130,Manhattan,Upper East Side,40.76712,-73.95668,Private room,2,0,,1,0,1,28,0,2,1
3225,4482351,Manhattan,Hell's Kitchen,40.76143,-73.99223,Entire home/apt,5,17,0.25,2,2,1,7,1,2,0
37166,501343,Manhattan,Hell's Kitchen,40.76328,-73.98942,Private room,3,2,0.73,2,30,1,7,0,2,1
29779,162427870,Manhattan,Midtown,40.74698,-73.98906,Private room,1,135,7.67,3,311,1,1,0,2,1
37805,39174150,Manhattan,Harlem,40.82528,-73.95313,Private room,2,3,0.42,3,91,1,2,0,2,1
45201,74290720,Brooklyn,Carroll Gardens,40.6832,-73.99322,Private room,2,6,3.67,1,145,0,33,0,1,1
20599,6153409,Brooklyn,Bedford-Stuyvesant,40.68635,-73.95535,Private room,15,3,0.1,1,0,0,6,0,1,1
37009,221612013,Manhattan,Upper East Side,40.76105,-73.96294,Private room,1,27,3.45,1,0,1,28,0,2,1
37188,166794407,Queens,Astoria,40.7673,-73.91194,Private room,1,3,0.39,3,188,2,56,0,3,1
3491,10661536,Brooklyn,Gowanus,40.66983,-73.9904,Entire home/apt,4,52,0.8,1,147,0,34,1,1,0
41801,14804867,Manhattan,Upper East Side,40.76965,-73.95326,Private room,3,11,2.6,1,116,1,28,0,2,1
14099,6198203,Brooklyn,East Flatbush,40.66101,-73.9302,Entire home/apt,2,29,2.17,1,318,0,54,1,1,0
29637,41311743,Brooklyn,Crown Heights,40.67593,-73.94966,Private room,3,0,,2,0,0,15,0,1,1
32082,173362161,Brooklyn,Flatbush,40.6429,-73.96877,Private room,2,38,2.73,6,85,0,22,0,1,1
33522,53276746,Manhattan,Harlem,40.81581,-73.94142,Entire home/apt,3,22,1.9,1,261,1,2,1,2,0
45043,260413032,Brooklyn,Bedford-Stuyvesant,40.69241,-73.95793,Entire home/apt,2,3,3.0,1,268,0,6,1,1,0
2657,2594389,Manhattan,Chelsea,40.74206,-73.99499,Entire home/apt,3,0,,1,345,1,14,1,2,0
19190,67213712,Brooklyn,Gowanus,40.68255,-73.9899,Entire home/apt,30,118,3.53,1,265,0,34,1,1,0
48286,222487531,Manhattan,East Village,40.73061,-73.98409,Entire home/apt,2,0,,1,109,1,19,1,2,0
6643,7365719,Brooklyn,Bedford-Stuyvesant,40.67958,-73.94581,Entire home/apt,5,12,0.24,1,9,0,6,1,1,0
36777,335046,Manhattan,Lower East Side,40.71271,-73.99084,Private room,3,9,1.11,3,219,1,23,0,2,1
21059,5281237,Queens,Astoria,40.77255,-73.93023,Private room,3,26,0.93,2,144,2,56,0,3,1
39967,28142165,Manhattan,Harlem,40.82331,-73.95454,Private room,2,6,0.95,2,170,1,2,0,2,1
16087,1261588,Brooklyn,Crown Heights,40.67968,-73.9595,Entire home/apt,30,132,3.53,1,83,0,15,1,1,0
42403,33514370,Brooklyn,Prospect-Lefferts Gardens,40.66066,-73.94458,Entire home/apt,3,16,5.78,1,10,0,24,1,1,0
23443,88322109,Brooklyn,Windsor Terrace,40.65417,-73.97405,Entire home/apt,6,0,,1,47,0,17,1,1,0
45336,45733814,Manhattan,Midtown,40.76387,-73.9809,Private room,2,0,,1,0,1,1,0,2,1
21504,6950431,Manhattan,West Village,40.73532,-74.0031,Entire home/apt,3,1,0.03,1,0,1,11,1,2,0
17146,78218328,Brooklyn,Bedford-Stuyvesant,40.69191,-73.94636,Private room,6,0,,1,0,0,6,0,1,1
18152,20612628,Brooklyn,Williamsburg,40.7049,-73.92966,Private room,1,2,0.06,1,0,0,12,0,1,1
45114,232596712,Manhattan,Upper West Side,40.77808,-73.9806,Entire home/apt,30,0,,6,339,1,8,1,2,0
39236,229443636,Brooklyn,Bedford-Stuyvesant,40.6874,-73.95279,Entire home/apt,2,15,2.11,1,349,0,6,1,1,0
24649,103217662,Queens,Ridgewood,40.70772,-73.90959,Private room,7,1,0.05,1,0,2,44,0,3,1
11736,1519189,Brooklyn,Bedford-Stuyvesant,40.69342,-73.94322,Entire home/apt,15,3,0.07,2,211,0,6,1,1,0
8185,4309521,Manhattan,Lower East Side,40.71959,-73.98984,Private room,1,1,0.02,1,0,1,23,0,2,1
15829,42413378,Brooklyn,South Slope,40.66548,-73.98196,Entire home/apt,3,148,3.84,2,91,0,10,1,1,0
33790,120035273,Bronx,Edenwald,40.89245,-73.83721,Entire home/apt,1,32,2.74,1,32,4,205,1,0,0
15045,30283594,Manhattan,Midtown,40.76573,-73.98295,Entire home/apt,30,1,0.05,121,352,1,1,1,2,0
16240,72701423,Brooklyn,Carroll Gardens,40.6783,-73.99419,Private room,1,5,0.13,1,0,0,33,0,1,1
37949,16098958,Manhattan,Midtown,40.75125,-73.97105,Entire home/apt,30,0,,96,0,1,1,1,2,0
4970,2401823,Brooklyn,Clinton Hill,40.68695,-73.9631,Entire home/apt,3,0,,1,0,0,3,1,1,0
19933,101491116,Brooklyn,Cypress Hills,40.68398,-73.87039,Private room,4,2,0.07,6,0,0,84,0,1,1
35346,198610122,Manhattan,West Village,40.73011,-74.00198,Entire home/apt,2,6,0.59,1,0,1,11,1,2,0
2341,6169516,Manhattan,Upper West Side,40.78892,-73.97435,Private room,3,13,0.17,1,219,1,8,0,2,1
34847,83203036,Queens,Arverne,40.58845,-73.80015,Entire home/apt,2,0,,1,215,2,106,1,3,0
33577,59262205,Brooklyn,Bedford-Stuyvesant,40.67963,-73.90816,Private room,1,16,2.34,3,0,0,6,0,1,1
30524,24648109,Manhattan,Battery Park City,40.70615,-74.01719,Entire home/apt,4,0,,1,0,1,101,1,2,0
20503,58391491,Queens,East Elmhurst,40.76582,-73.87153,Private room,1,306,9.82,5,155,2,103,0,3,1
45563,61396454,Manhattan,Midtown,40.7554,-73.96474,Entire home/apt,30,1,1.0,14,289,1,1,1,2,0
26865,44439712,Manhattan,East Harlem,40.79242,-73.94178,Private room,4,23,1.2,1,80,1,4,0,2,1
30959,4447548,Brooklyn,Bedford-Stuyvesant,40.69336,-73.94453,Entire home/apt,2,8,0.56,1,18,0,6,1,1,0
30671,142248429,Brooklyn,Williamsburg,40.71166,-73.95955,Private room,6,25,1.79,1,84,0,12,0,1,1
38916,209964870,Manhattan,Hell's Kitchen,40.76726,-73.9901,Entire home/apt,4,1,0.16,1,0,1,7,1,2,0
36099,214135354,Manhattan,Upper East Side,40.77601,-73.95114,Private room,1,75,7.76,2,283,1,28,0,2,1
28386,126110540,Brooklyn,East New York,40.66269,-73.8825,Private room,1,54,2.8,3,179,0,70,0,1,1
33223,46592613,Queens,Astoria,40.76945,-73.92485,Entire home/apt,5,5,0.57,1,0,2,56,1,3,0
13600,52228249,Bronx,Bronxdale,40.85592,-73.86743,Entire home/apt,7,0,,1,0,4,136,1,0,0
2197,825252,Brooklyn,Park Slope,40.67651,-73.98007,Entire home/apt,2,45,0.66,1,0,0,16,1,1,0
8672,34861728,Queens,Kew Gardens,40.70945,-73.83132,Private room,9,12,0.26,4,318,2,116,0,3,1
304,72062,Manhattan,East Village,40.72542,-73.97986,Entire home/apt,2,48,0.48,4,297,1,19,1,2,0
17786,67961258,Brooklyn,Williamsburg,40.70883,-73.93873,Private room,1,14,0.4,1,0,0,12,0,1,1
2131,5369117,Queens,Astoria,40.76291,-73.91871,Private room,2,183,2.45,2,326,2,56,0,3,1
24110,134871099,Manhattan,Roosevelt Island,40.77009,-73.9427,Entire home/apt,2,52,2.1,1,0,1,51,1,2,0
17001,22541573,Manhattan,Upper East Side,40.76371,-73.96153,Entire home/apt,30,1,0.03,87,341,1,28,1,2,0
38702,107434423,Manhattan,Chelsea,40.73767,-73.99739,Entire home/apt,30,1,0.39,232,310,1,14,1,2,0
26752,134184451,Queens,Jamaica,40.70288,-73.81531,Private room,1,1,0.05,18,365,2,46,0,3,1
40334,230061564,Manhattan,East Village,40.72846,-73.98457,Entire home/apt,1,10,1.67,1,332,1,19,1,2,0
34532,200380610,Manhattan,Midtown,40.7525,-73.96683,Entire home/apt,30,0,,65,339,1,1,1,2,0
42027,2521127,Manhattan,Upper West Side,40.76829,-73.98298,Private room,2,13,3.15,1,233,1,8,0,2,1
22502,125557444,Queens,Jamaica,40.67057,-73.77956,Entire home/apt,1,7,0.27,2,304,2,46,1,3,0
7456,3447539,Manhattan,Washington Heights,40.84898,-73.93642,Private room,4,109,2.08,2,284,1,30,0,2,1
35727,37252076,Queens,Jackson Heights,40.75436,-73.88534,Private room,3,1,1.0,2,155,2,83,0,3,1
36106,64673584,Manhattan,Upper West Side,40.78285,-73.97487,Entire home/apt,7,5,0.53,1,1,1,8,1,2,0
12499,49736436,Manhattan,Washington Heights,40.83549,-73.93968,Entire home/apt,3,10,0.7,2,244,1,30,1,2,0
8153,4405241,Manhattan,East Village,40.73112,-73.98364,Entire home/apt,6,6,0.13,1,0,1,19,1,2,0
42491,63640163,Bronx,Fordham,40.8637,-73.89236,Entire home/apt,1,22,6.8,1,339,4,144,1,0,0
17093,3491890,Manhattan,Upper West Side,40.78435,-73.97579,Entire home/apt,30,2,0.06,6,0,1,8,1,2,0
39088,51985960,Brooklyn,Williamsburg,40.70552,-73.92947,Private room,6,2,0.32,2,95,0,12,0,1,1
41835,138492193,Manhattan,Little Italy,40.71907,-73.99685,Entire home/apt,1,25,5.47,1,29,1,53,1,2,0
40733,92588965,Brooklyn,East Flatbush,40.64842,-73.92753,Entire home/apt,2,17,2.98,1,248,0,54,1,1,0
8670,25812962,Manhattan,East Harlem,40.79131,-73.94344,Private room,1,62,1.35,3,257,1,4,0,2,1
33743,201116493,Brooklyn,Clinton Hill,40.68305,-73.96316,Entire home/apt,14,2,0.19,1,0,0,3,1,1,0
42192,53725579,Manhattan,Washington Heights,40.84493,-73.93843,Private room,1,25,5.95,3,205,1,30,0,2,1
7368,19066350,Manhattan,East Harlem,40.79963,-73.94628,Entire home/apt,2,98,1.94,1,237,1,4,1,2,0
42432,15672224,Brooklyn,Sheepshead Bay,40.58546,-73.9457,Entire home/apt,21,0,,1,81,0,73,1,1,0
7688,23719409,Manhattan,Harlem,40.8261,-73.95139,Private room,1,157,3.04,4,137,1,2,0,2,1
42410,76394560,Brooklyn,Bushwick,40.70311,-73.92514,Private room,1,12,3.64,1,9,0,21,0,1,1
40074,165827975,Brooklyn,Bedford-Stuyvesant,40.69032,-73.92437,Private room,2,0,,1,10,0,6,0,1,1
23620,42729298,Brooklyn,Williamsburg,40.71911,-73.95805,Private room,1,122,4.82,2,11,0,12,0,1,1
28844,162456824,Brooklyn,Cobble Hill,40.68675,-73.9995,Entire home/apt,1,67,3.63,2,146,0,36,1,1,0
20382,46382018,Manhattan,Chinatown,40.7162,-73.99379,Entire home/apt,20,0,,1,0,1,9,1,2,0
26283,103477264,Queens,St. Albans,40.70791,-73.75625,Private room,1,30,1.37,1,0,2,85,0,3,1
15203,53930780,Manhattan,Harlem,40.80422,-73.95495,Private room,1,1,0.03,1,0,1,2,0,2,1
42970,706037,Brooklyn,Greenpoint,40.72988,-73.95789,Entire home/apt,10,0,,1,83,0,20,1,1,0
33213,62701284,Queens,Long Island City,40.7452,-73.9535,Entire home/apt,2,43,3.6,1,239,2,25,1,3,0
25725,147094537,Bronx,Concourse Village,40.83206,-73.91969,Shared room,1,2,0.09,1,0,4,72,2,0,2
27702,6792247,Manhattan,SoHo,40.72566,-74.00075,Entire home/apt,2,7,0.64,1,4,1,27,1,2,0
9173,36818817,Manhattan,Morningside Heights,40.80395,-73.96531,Private room,3,3,0.06,2,0,1,45,0,2,1
19224,92195100,Bronx,Bronxdale,40.85236,-73.86632,Private room,1,114,3.48,1,0,4,136,0,0,1
43620,5549854,Manhattan,West Village,40.73684,-74.00844,Entire home/apt,4,2,1.36,1,5,1,11,1,2,0
25355,43121487,Queens,Maspeth,40.7355,-73.90064,Entire home/apt,3,71,3.08,1,285,2,126,1,3,0
14342,58164974,Manhattan,Hell's Kitchen,40.75925,-73.99427,Private room,4,37,0.92,1,0,1,7,0,2,1
29475,107978473,Brooklyn,Greenpoint,40.73375,-73.9557,Private room,2,3,0.23,1,0,0,20,0,1,1
19216,64065593,Manhattan,Midtown,40.7531,-73.97321,Private room,2,3,0.09,13,324,1,1,0,2,1
16004,71140140,Manhattan,Lower East Side,40.71981,-73.99154,Entire home/apt,2,1,0.03,1,0,1,23,1,2,0
36792,24000784,Brooklyn,Sunset Park,40.64513,-74.01279,Private room,1,5,0.57,4,32,0,79,0,1,1
20229,83929409,Manhattan,West Village,40.73621,-74.00612,Entire home/apt,2,5,0.16,1,0,1,11,1,2,0
41347,26817172,Manhattan,Midtown,40.75828,-73.96829,Entire home/apt,1,11,3.59,1,336,1,1,1,2,0
32211,30242632,Manhattan,Chelsea,40.74123,-74.00548,Entire home/apt,2,44,3.37,1,134,1,14,1,2,0
22976,7055854,Manhattan,East Harlem,40.80141,-73.94341,Private room,6,0,,5,219,1,4,0,2,1
19299,16810685,Manhattan,Greenwich Village,40.72868,-73.99901,Entire home/apt,1,173,5.21,1,271,1,52,1,2,0
45739,2982441,Manhattan,East Village,40.7319,-73.98658,Entire home/apt,8,1,1.0,1,188,1,19,1,2,0
37000,65671256,Queens,Jackson Heights,40.75749,-73.85811,Private room,1,43,4.94,3,48,2,83,0,3,1
10578,17478311,Manhattan,East Village,40.72573,-73.97926,Entire home/apt,3,5,0.11,1,0,1,19,1,2,0
9473,6994503,Manhattan,Upper West Side,40.78931,-73.9752,Entire home/apt,5,12,0.25,1,25,1,8,1,2,0
26755,153565366,Brooklyn,Gowanus,40.67543,-73.98455,Entire home/apt,4,70,3.51,3,174,0,34,1,1,0
33762,72157489,Brooklyn,Bushwick,40.69327,-73.91599,Private room,1,3,0.25,2,250,0,21,0,1,1
29810,2416281,Brooklyn,Bedford-Stuyvesant,40.68898,-73.95835,Entire home/apt,3,45,2.56,1,179,0,6,1,1,0
4957,17885257,Manhattan,Midtown,40.75503,-73.96711,Entire home/apt,1,0,,1,0,1,1,1,2,0
5690,21480710,Brooklyn,Bedford-Stuyvesant,40.68514,-73.93207,Entire home/apt,1,0,,2,0,0,6,1,1,0
38119,14413778,Manhattan,Nolita,40.72192,-73.99418,Private room,3,1,0.13,2,363,1,64,0,2,1
12110,8712984,Brooklyn,Bushwick,40.70889,-73.92135,Entire home/apt,3,9,0.23,1,42,0,21,1,1,0
624,1236817,Manhattan,Lower East Side,40.72066,-73.98506,Entire home/apt,3,100,1.06,1,191,1,23,1,2,0
22156,122032246,Manhattan,Chelsea,40.74107,-73.99936,Entire home/apt,2,2,0.07,1,0,1,14,1,2,0
25001,32446721,Queens,Corona,40.74905,-73.86499,Shared room,1,26,1.1,6,365,2,162,2,3,2
19395,36861300,Brooklyn,Bushwick,40.6998,-73.92167,Entire home/apt,2,72,2.2,1,146,0,21,1,1,0
35669,190921808,Manhattan,Hell's Kitchen,40.75545,-73.99652,Private room,30,2,0.21,47,351,1,7,0,2,1
38293,219517861,Manhattan,Financial District,40.70637,-74.00645,Entire home/apt,29,0,,327,309,1,43,1,2,0
19434,19338842,Queens,Ditmars Steinway,40.77508,-73.91231,Entire home/apt,18,0,,1,0,2,49,1,3,0
8846,7788268,Brooklyn,Prospect-Lefferts Gardens,40.65894,-73.95947,Private room,2,10,0.22,1,52,0,24,0,1,1
23607,43595404,Brooklyn,Bedford-Stuyvesant,40.68154,-73.9534,Private room,2,6,0.25,1,0,0,6,0,1,1
37044,171446547,Staten Island,Bull's Head,40.617,-74.16485,Private room,1,29,3.4,1,362,3,216,0,4,1
34198,49786789,Manhattan,Inwood,40.86945,-73.92123,Entire home/apt,30,1,0.25,1,8,1,18,1,2,0
5548,11818785,Queens,Jackson Heights,40.7525,-73.88592,Private room,30,0,,1,88,2,83,0,3,1
10605,28888685,Manhattan,SoHo,40.72528,-74.00223,Private room,2,5,0.11,1,0,1,27,0,2,1
4562,16108191,Brooklyn,South Slope,40.66488,-73.98725,Entire home/apt,4,2,0.11,1,0,0,10,1,1,0
12193,48988714,Brooklyn,Williamsburg,40.71174,-73.95544,Entire home/apt,1,119,2.71,3,353,0,12,1,1,0
13236,34010790,Brooklyn,Bedford-Stuyvesant,40.68808,-73.9206,Private room,1,0,,1,0,0,6,0,1,1
15789,4979093,Brooklyn,Williamsburg,40.70898,-73.95086,Private room,3,1,0.05,1,0,0,12,0,1,1
47805,8285778,Manhattan,Hell's Kitchen,40.7687,-73.98927,Entire home/apt,2,0,,1,12,1,7,1,2,0
38708,107434423,Manhattan,Upper East Side,40.77518,-73.9491,Entire home/apt,30,1,0.3,232,235,1,28,1,2,0
46736,265598777,Manhattan,Lower East Side,40.72016,-73.98968,Entire home/apt,2,5,5.0,1,188,1,23,1,2,0
30779,2793254,Brooklyn,Bushwick,40.70336,-73.91998,Private room,3,25,1.62,3,167,0,21,0,1,1
40856,238119405,Brooklyn,Bushwick,40.68219,-73.90737,Private room,1,18,3.72,5,189,0,21,0,1,1
45289,175116422,Staten Island,Grant City,40.57825,-74.10902,Entire home/apt,3,0,,3,318,3,206,1,4,0
48035,270874051,Queens,Long Island City,40.75368,-73.93298,Private room,1,0,,8,318,2,25,0,3,1
40545,235468713,Manhattan,East Village,40.72466,-73.98373,Entire home/apt,2,28,4.75,1,8,1,19,1,2,0
28905,2838365,Brooklyn,Fort Greene,40.68528,-73.96947,Private room,1,0,,1,0,0,13,0,1,1
27133,45697749,Brooklyn,Bedford-Stuyvesant,40.68589,-73.95516,Entire home/apt,6,4,0.2,2,0,0,6,1,1,0
16867,3191545,Manhattan,Midtown,40.76569,-73.98281,Entire home/apt,30,8,0.3,23,362,1,1,1,2,0
48797,122204600,Queens,Astoria,40.76431,-73.90992,Private room,15,0,,1,341,2,56,0,3,1
22529,17247848,Queens,Ditmars Steinway,40.77751,-73.90902,Private room,1,31,1.2,1,90,2,49,0,3,1
27087,122044489,Brooklyn,Bedford-Stuyvesant,40.69119,-73.94225,Entire home/apt,2,39,1.91,2,130,0,6,1,1,0
27340,88780960,Brooklyn,Bedford-Stuyvesant,40.6777,-73.92176,Private room,7,1,0.05,1,0,0,6,0,1,1
39010,3229770,Queens,Sunnyside,40.73662,-73.92372,Entire home/apt,3,7,1.11,4,280,2,39,1,3,0
27737,7760308,Brooklyn,Williamsburg,40.71425,-73.96276,Entire home/apt,1,33,1.96,1,0,0,12,1,1,0
41720,17578498,Manhattan,East Harlem,40.79876,-73.93802,Private room,2,9,2.5,1,0,1,4,0,2,1
28632,161971187,Manhattan,Inwood,40.86089,-73.92832,Entire home/apt,4,0,,1,0,1,18,1,2,0
12630,50084376,Queens,Ditmars Steinway,40.77472,-73.90993,Private room,1,2,0.05,1,0,2,49,0,3,1
5355,17770287,Manhattan,Midtown,40.7495,-73.98313,Entire home/apt,30,13,0.23,14,331,1,1,1,2,0
38043,5326571,Queens,Ditmars Steinway,40.77751,-73.90956,Private room,2,2,0.29,2,278,2,49,0,3,1
276,320422,Brooklyn,Williamsburg,40.71368,-73.9626,Private room,3,0,,1,0,0,12,0,1,1
22638,1507779,Brooklyn,South Slope,40.66405,-73.98512,Private room,14,9,0.34,2,101,0,10,0,1,1
1763,2333904,Manhattan,East Village,40.72381,-73.97896,Private room,26,58,0.73,3,129,1,19,0,2,1
40193,44886301,Manhattan,Upper East Side,40.77016,-73.95293,Private room,3,0,,2,0,1,28,0,2,1
32649,6787261,Brooklyn,Williamsburg,40.71021,-73.95563,Private room,2,6,0.46,2,0,0,12,0,1,1
32973,134613498,Manhattan,East Village,40.72811,-73.98824,Private room,1,0,,7,0,1,19,0,2,1
6455,41358,Brooklyn,Fort Greene,40.6908,-73.97332,Entire home/apt,2,1,0.02,1,0,0,13,1,1,0
41906,13733669,Manhattan,Harlem,40.81134,-73.94097,Private room,4,7,1.59,1,0,1,2,0,2,1
4937,506909,Manhattan,Kips Bay,40.73788,-73.98048,Entire home/apt,1,9,0.15,1,0,1,26,1,2,0
20112,79060345,Manhattan,Chelsea,40.73992,-74.00221,Entire home/apt,4,31,1.31,1,291,1,14,1,2,0
47789,11403548,Brooklyn,Williamsburg,40.71422,-73.95697,Entire home/apt,2,0,,1,30,0,12,1,1,0
38948,8144643,Queens,Long Island City,40.74588,-73.95377,Entire home/apt,5,0,,1,0,2,25,1,3,0
10617,19990876,Brooklyn,Bedford-Stuyvesant,40.68389,-73.95557,Private room,3,4,0.09,1,0,0,6,0,1,1
47806,507966,Brooklyn,Williamsburg,40.71606,-73.94367,Entire home/apt,5,0,,1,318,0,12,1,1,0
40371,22541573,Manhattan,Tribeca,40.71509,-74.00566,Entire home/apt,30,0,,87,262,1,77,1,2,0
1900,4393626,Manhattan,Chelsea,40.74712,-73.99514,Private room,3,26,0.36,2,18,1,14,0,2,1
29121,4162008,Brooklyn,Bushwick,40.70086,-73.93423,Private room,1,0,,2,0,0,21,0,1,1
20447,5865860,Manhattan,Midtown,40.75524,-73.96755,Private room,2,2,0.08,1,0,1,1,0,2,1
48,50846,Brooklyn,Bedford-Stuyvesant,40.68554,-73.9409,Entire home/apt,3,11,0.1,1,0,0,6,1,1,0
19887,103450258,Queens,Kew Gardens Hills,40.72136,-73.81717,Entire home/apt,4,12,0.39,1,335,2,139,1,3,0
23579,113570467,Manhattan,Midtown,40.74842,-73.98542,Shared room,1,1,0.1,1,179,1,1,2,2,2
37091,61391963,Manhattan,Hell's Kitchen,40.76382,-73.98815,Entire home/apt,30,1,0.14,91,345,1,7,1,2,0
44061,6752504,Brooklyn,Gravesend,40.59609,-73.97486,Entire home/apt,5,0,,3,23,0,67,1,1,0
15698,47187182,Brooklyn,Crown Heights,40.67428,-73.94373,Private room,3,0,,1,89,0,15,0,1,1
10483,42237225,Manhattan,Harlem,40.80083,-73.95584,Private room,1,22,0.47,1,365,1,2,0,2,1
32294,22935245,Brooklyn,Bedford-Stuyvesant,40.69168,-73.95397,Entire home/apt,21,1,0.08,1,25,0,6,1,1,0
18859,94263025,Brooklyn,Bushwick,40.68918,-73.91217,Private room,1,11,0.57,2,0,0,21,0,1,1
28338,47414802,Manhattan,Harlem,40.80427,-73.9506,Entire home/apt,20,4,0.21,2,282,1,2,1,2,0
13070,31534322,Queens,Long Island City,40.7484,-73.94651,Private room,2,113,2.6,4,63,2,25,0,3,1
7323,22249707,Brooklyn,Sheepshead Bay,40.58343,-73.95386,Entire home/apt,2,60,1.15,1,0,0,73,1,1,0
15464,67045498,Queens,Ridgewood,40.70918,-73.90089,Entire home/apt,1,38,1.75,1,77,2,44,1,3,0
19703,101978485,Manhattan,Two Bridges,40.71165,-73.9993,Entire home/apt,1,59,1.82,1,88,1,60,1,2,0
3693,11342593,Bronx,Kingsbridge,40.86467,-73.90125,Private room,2,11,0.2,1,365,4,59,0,0,1
14147,56312532,Manhattan,Upper West Side,40.80283,-73.96504,Entire home/apt,15,0,,1,0,1,8,1,2,0
10303,31304940,Brooklyn,Williamsburg,40.71636,-73.96246,Private room,2,97,2.13,8,122,0,12,0,1,1
5614,1335736,Brooklyn,Bedford-Stuyvesant,40.68634,-73.92516,Entire home/apt,4,8,0.15,1,279,0,6,1,1,0
26592,2385790,Brooklyn,Bedford-Stuyvesant,40.69592,-73.93793,Private room,1,5,0.24,2,0,0,6,0,1,1
25375,138006255,Brooklyn,Canarsie,40.63601,-73.91503,Private room,1,1,0.07,2,365,0,100,0,1,1
24982,15787004,Brooklyn,Bushwick,40.69682,-73.92318,Private room,3,6,0.48,5,0,0,21,0,1,1
8134,233161,Brooklyn,Windsor Terrace,40.65246,-73.97369,Entire home/apt,6,0,,1,0,0,17,1,1,0
37533,5845384,Brooklyn,Carroll Gardens,40.68301,-73.99677,Entire home/apt,5,0,,1,33,0,33,1,1,0
13289,27078779,Queens,Astoria,40.76047,-73.92288,Entire home/apt,1,0,,1,0,2,56,1,3,0
5982,16598048,Manhattan,East Village,40.72902,-73.98814,Entire home/apt,6,1,0.02,1,0,1,19,1,2,0
34338,205031545,Manhattan,Midtown,40.75442,-73.96696,Entire home/apt,3,8,1.18,49,204,1,1,1,2,0
1699,4059034,Brooklyn,Williamsburg,40.7179,-73.96107,Entire home/apt,2,302,4.18,1,246,0,12,1,1,0
19010,23303311,Manhattan,Hell's Kitchen,40.76133,-73.99744,Entire home/apt,3,1,0.03,1,158,1,7,1,2,0
5714,6897051,Manhattan,Upper West Side,40.78398,-73.97795,Private room,4,7,0.12,2,0,1,8,0,2,1
212,263414,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,5,129,1.22,1,286,1,11,1,2,0
43393,184472924,Brooklyn,East New York,40.6633,-73.89733,Entire home/apt,2,7,2.63,1,157,0,70,1,1,0
47300,268405137,Brooklyn,Bushwick,40.69284,-73.91248,Entire home/apt,2,4,4.0,1,359,0,21,1,1,0
37530,4317615,Manhattan,Harlem,40.82064,-73.9537,Private room,1,11,1.43,2,0,1,2,0,2,1
36146,1104166,Brooklyn,Williamsburg,40.71223,-73.9524,Entire home/apt,5,0,,4,0,0,12,1,1,0
1786,3642035,Brooklyn,Crown Heights,40.67504,-73.95273,Entire home/apt,4,6,0.08,1,250,0,15,1,1,0
5626,21232737,Manhattan,SoHo,40.72651,-74.00014,Entire home/apt,1,0,,1,1,1,27,1,2,0
32584,31077393,Queens,Ridgewood,40.70004,-73.89864,Private room,5,0,,1,0,2,44,0,3,1
24294,137129564,Queens,Flushing,40.75388,-73.81561,Private room,1,70,2.86,4,85,2,37,0,3,1
24112,136211138,Queens,Woodside,40.74374,-73.90387,Private room,1,0,,1,0,2,31,0,3,1
20451,106714852,Manhattan,Chinatown,40.71401,-73.99187,Entire home/apt,7,2,0.14,1,0,1,9,1,2,0
15413,52656626,Manhattan,Upper West Side,40.79772,-73.9626,Entire home/apt,3,11,0.32,1,0,1,8,1,2,0
17138,71308956,Brooklyn,Greenpoint,40.72429,-73.94534,Entire home/apt,3,1,0.03,1,0,0,20,1,1,0
33076,2797280,Brooklyn,Bedford-Stuyvesant,40.69061,-73.95345,Entire home/apt,1,26,2.39,1,69,0,6,1,1,0
27633,158198197,Brooklyn,Williamsburg,40.71273,-73.95026,Private room,1,8,0.52,1,0,0,12,0,1,1
6409,24144577,Manhattan,Harlem,40.80382,-73.94476,Entire home/apt,3,41,0.79,1,258,1,2,1,2,0
25119,10010083,Brooklyn,Bedford-Stuyvesant,40.68317,-73.93553,Private room,3,26,1.28,1,47,0,6,0,1,1
